Sex,Education,Employment Status
Female,Less than high school,Part time
Male,College graduate,Full time
Male,High school graduate,Full time
Female,College graduate,Full time
Male,High school graduate,Full time
Male,High school graduate,Full time
Male,College graduate,Full time
Male,Some college credit,Part time
Female,High school graduate,Full time
Female,High school graduate,Full time
Male,Some college credit,Full time
Male,College graduate,Part time
Male,High school graduate,Full time
Male,Less than high school,Full time
Female,Some college credit,Full time
Male,Less than high school,Full time
Male,College graduate,Full time
Female,Some college credit,Full time
Male,Some college credit,Full time
Male,High school graduate,Full time
Male,Some college credit,Full time
Male,Less than high school,Part time
Male,Some college credit,Full time
Male,Some college credit,Full time
Male,Some college credit,Full time
Male,High school graduate,Part time
Male,Some college credit,Full time
Male,High school graduate,Full time
Female,High school graduate,Part time
Male,Less than high school,Unemployed
Male,High school graduate,Full time
Male,Some college credit,Full time
Female,Less than high school,Full time
Male,High school graduate,Full time
Male,Less than high school,Full time
Male,College graduate,Full time
Male,Less than high school,Part time
Male,High school graduate,Full time
Male,Less than high school,Full time
Male,High school graduate,Full time
Male,Less than high school,Full time
Female,Less than high school,Full time
Male,Some college credit,Full time
Male,Some college credit,Part time
Male,High school graduate,Full time
Female,Less than high school,Full time
Male,Some college credit,Full time
Male,High school graduate,Full time
Male,High school graduate,Full time
Male,Some college credit,Full time
Male,College graduate,Full time
Female,Some college credit,Part time
Female,College graduate,Part time
Male,High school graduate,Full time
Male,High school graduate,Unemployed
Female,High school graduate,Part time
Female,Less than high school,Full time
Female,Less than high school,Part time
Male,Some college credit,Full time
Male,Some college credit,Full time
Male,Less than high school,Full time
Male,High school graduate,Full time
Female,Some college credit,Full time
Male,College graduate,Full time
Male,Some college credit,Part time
Female,Some college credit,Part time
Male,High school graduate,Full time
Male,Some college credit,Full time
Male,College graduate,Full time
Male,High school graduate,Part time
Female,High school graduate,Full time
Male,Less than high school,Full time
Male,Some college credit,Full time
Female,College graduate,Full time
Male,Some college credit,Full time
Female,Some college credit,Full time
Male,Less than high school,Part time
Female,High school graduate,Part time
Male,Some college credit,Part time
Female,Some college credit,Full time
Female,Some college credit,Full time
Female,High school graduate,Part time
Male,Some college credit,Full time
Male,High school graduate,Full time
Male,High school graduate,Part time
Male,Some college credit,Full time
Female,Some college credit,Full time
Male,College graduate,Full time
Male,Some college credit,Full time
Female,Some college credit,Full time
Male,Some college credit,Full time
Female,Some college credit,Full time
Female,Some college credit,Full time
Male,Less than high school,Full time
Male,Some college credit,Full time
Male,Less than high school,Full time
Male,High school graduate,Full time
Male,Less than high school,Full time
Male,Less than high school,Full time
Male,Some college credit,Full time
Male,Less than high school,Full time
Male,Less than high school,Full time
Female,High school graduate,Full time
Male,High school graduate,Full time
Female,Some college credit,Full time
Male,High school graduate,Full time
Female,High school graduate,Full time
Male,High school graduate,Part time
Female,Some college credit,Full time
Male,High school graduate,Full time
Female,High school graduate,Full time
Male,College graduate,Full time
Male,Less than high school,Full time
Male,Less than high school,Part time
Male,High school graduate,Full time
Male,High school graduate,Full time
Male,College graduate,Full time
Male,Less than high school,Part time
Male,High school graduate,Full time
Female,High school graduate,Full time
Male,High school graduate,Full time
Male,High school graduate,Full time
Male,Some college credit,Full time
Male,College graduate,Full time
Female,High school graduate,Full time
Female,Some college credit,Full time
Male,High school graduate,Full time
Female,Some college credit,Full time
Male,Less than high school,Full time
Male,Some college credit,Full time
Male,High school graduate,Full time
Female,Some college credit,Full time
Male,High school graduate,Part time
Female,High school graduate,Part time
Male,College graduate,Full time
Female,Some college credit,Full time
Female,High school graduate,Full time
Male,High school graduate,Full time
Male,Less than high school,Full time
Female,College graduate,Full time
Female,College graduate,Part time
Female,Some college credit,Full time
Male,Some college credit,Part time
Male,High school graduate,Full time
Female,High school graduate,Unemployed
Female,Some college credit,Part time
Female,High school graduate,Full time
Male,Some college credit,Part time
Male,Less than high school,Full time
Male,High school graduate,Part time
Male,Some college credit,Full time
Female,High school graduate,Full time
Female,Less than high school,Part time
Male,High school graduate,Full time
Male,High school graduate,Full time
Male,Some college credit,Full time
Female,College graduate,Full time
Male,High school graduate,Full time
Male,High school graduate,Full time
Male,High school graduate,Part time
Female,Some college credit,Full time
Male,Some college credit,Full time
Male,Some college credit,Full time
Male,High school graduate,Part time
Female,High school graduate,Full time
Male,College graduate,Full time
Male,High school graduate,Full time
Female,College graduate,Part time
Male,High school graduate,Full time
Male,Some college credit,Full time
Male,High school graduate,Full time
Female,College graduate,Part time
Male,Some college credit,Full time
Male,High school graduate,Full time
Female,Some college credit,Part time
Male,Less than high school,Full time
Female,Some college credit,Full time
Male,High school graduate,Part time
Male,Some college credit,Full time
Male,High school graduate,Full time
Male,High school graduate,Full time
Female,High school graduate,Part time
Male,College graduate,Part time
Female,Some college credit,Full time
Male,Less than high school,Full time
Male,Less than high school,Full time
Male,College graduate,Full time
Male,College graduate,Full time
Male,College graduate,Full time
Male,Some college credit,Full time
Male,Some college credit,Full time
Male,College graduate,Full time
Male,Less than high school,Full time
Female,High school graduate,Full time
Male,Some college credit,Full time
Male,Some college credit,Full time
Male,Some college credit,Full time
Male,Some college credit,Full time
Male,Some college credit,Full time
Male,High school graduate,Part time
Male,Some college credit,Full time
Female,Some college credit,Full time
Male,Some college credit,Part time
Female,Some college credit,Full time
Male,College graduate,Full time
Female,Some college credit,Part time
Female,Some college credit,Full time
Male,High school graduate,Part time
Male,Some college credit,Full time
Male,Some college credit,Full time
Male,College graduate,Part time
Male,Some college credit,Full time
Female,High school graduate,Part time
Female,High school graduate,Full time
Male,High school graduate,Full time
Male,High school graduate,Full time
Male,High school graduate,Part time
Male,College graduate,Full time
Female,High school graduate,Full time
Female,Some college credit,Full time
Male,High school graduate,Full time
Male,High school graduate,Full time
Male,College graduate,Full time
Female,College graduate,Part time
Male,Some college credit,Part time
Male,High school graduate,Full time
Male,Less than high school,Full time
Female,College graduate,Full time
Male,Less than high school,Full time
Male,College graduate,Unemployed
Male,Some college credit,Part time
Male,High school graduate,Full time
Female,Some college credit,Full time
Male,High school graduate,Part time
Female,College graduate,Part time
Male,High school graduate,Full time
Male,Some college credit,Full time
Male,Less than high school,Full time
Female,High school graduate,Full time
Male,High school graduate,Full time
Male,Some college credit,Part time
Male,Some college credit,Full time
Female,Some college credit,Full time
Female,Some college credit,Full time
Male,Some college credit,Full time
Male,Some college credit,Full time
Male,High school graduate,Full time
Male,High school graduate,Part time
Female,Some college credit,Full time
Male,High school graduate,Full time
Female,Some college credit,Full time
Female,College graduate,Full time
Male,Some college credit,Full time
Male,Some college credit,Full time
Male,High school graduate,Full time
Male,Some college credit,Full time
Female,Some college credit,Full time
Male,Less than high school,Full time
Male,High school graduate,Full time
Male,Some college credit,Full time
Male,High school graduate,Full time
Male,Some college credit,Part time
Female,Some college credit,Full time
Male,College graduate,Full time
Male,High school graduate,Full time
Male,High school graduate,Full time
Male,High school graduate,Full time
Male,Some college credit,Full time
Male,Some college credit,Full time
Male,Less than high school,Full time
Female,High school graduate,Full time
Male,Less than high school,Part time
Male,Some college credit,Full time
Female,College graduate,Part time
Male,Less than high school,Full time
Male,High school graduate,Full time
Male,Some college credit,Full time
Male,Some college credit,Part time
Male,Less than high school,Part time
